CONTROL,JAMMORT,JHELOCADD,JHELOCBAL,JHELOCLIM,JINTRATE,JLOANTYPE,JMISCPMT,JMORTADDTN,JMORTCLASS,JMORTLINE,JMORTTYPE,JPMTAMT,JPMTFREQ,JPMTONLY,JREFI,JREFICSH,JREFICSHAMT,JTAXPMT,AMMORT,REFI,MORTCLASS,MORTTYPE,TAXPMT,PMTONLY,MORTLINE,REFICSHAMT,MORTADDTN,HELOCLIM,REFICSH,HELOCBAL,HELOCADD,PMTFREQ,LOANTYPE,MISCPMT,PMTAMT,INTRATE
'11007910','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',400021,'1','1','2','1',2024,1,-6,-6,-6,'2','-6','-6','1','1','1',2919,2.98
'11007926','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',93891,'-9','1','1','-9',399,1,-6,-6,-6,'-6','-6','-6','-9','1','2',411,3.402
'11007933','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1014238,'2','1','1','2',3225,1,-6,-6,-6,'-6','-6','-6','1','1','2',5317,2.909
'11007951','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',622161,'1','1','1','1',2624,1,-6,-6,-6,'2','-6','-6','1','1','1',4573,3.041
'11007953','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',680033,'1','1','1','2',2691,1,-6,-6,-6,'-9','-6','-6','1','1','2',2563,3.683
'11007957','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',241289,'1','1','1','1',1710,1,-6,-6,-6,'2','-6','-6','1','1','2',2179,3.237
'11007964','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',112163,'1','1','1','1',900,1,86451,14,-6,'1','-6','-6','1','1','2',1103,6.852
'11007967','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',485163,'2','1','1','1',2112,1,-6,-6,-6,'-6','-6','-6','1','1','1',3800,1.652
'11007987','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',225334,'2','1','1','1',1014,1,-6,-6,-6,'-6','-6','-6','1','1','1',1237,3.269
'11007998','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',557646,'-9','1','1','-9',2680,1,-6,-6,-6,'-6','-6','-6','-9','1','2',2641,4.424
'11008007','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',92254,'2','1','1','1',724,1,-6,-6,-6,'-6','-6','-6','1','1','1',11433,6.826
'11008013','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',160091,'2','1','1','1',750,1,-6,-6,-6,'-6','-6','-6','1','1','1',1817,4.382
'11008019','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',360488,'1','1','1','1',1356,1,-6,-6,-6,'2','-6','-6','1','1','1',2498,2.829
'11008020','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',170834,'2','1','2','2',1011,1,-6,-6,-6,'-6','-6','-6','1','1','1',820,6.315
'11008025','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',236934,'1','1','1','1',572,1,-6,-6,-6,'2','-6','-6','2','1','1',1028,2.992
'11008029','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',181580,'1','1','1','1',836,1,-6,-6,-6,'2','-6','-6','1','1','1',925,3.574
'11008042','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',133951,'-9','1','1','-9',1483,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1402,3.496
'11008055','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',157781,'2','1','2','1',805,1,-6,-6,-6,'-6','-6','-6','1','1','1',1586,3.63
'11008057','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',99121,'2','1','1','1',439,1,-6,-6,-6,'-6','-6','-6','1','1','1',573,3.255
